0.001427	0.000000	0.000000	0.000000
0.001775	0.001247	0.000836	0.000031
0.002469	0.001887	0.001511	0.000047
0.003357	0.002700	0.002174	0.000067
0.004403	0.003719	0.002817	0.000091
0.005659	0.004930	0.003786	0.000120
0.007099	0.006411	0.004700	0.000156
0.008870	0.008120	0.006150	0.000197
0.010860	0.010227	0.007651	0.000255
0.013143	0.012403	0.009441	0.001481
0.015710	0.014931	0.011648	0.002080
0.018672	0.017953	0.014094	0.002827
0.021989	0.021283	0.016805	0.003766
0.025700	0.025000	0.019483	0.004872
0.029817	0.029128	0.022926	0.006108
0.034256	0.033658	0.026644	0.007335
0.039114	0.038685	0.030633	0.008637
0.044433	0.044183	0.034980	0.010644
0.050254	0.050186	0.039827	0.012966
0.056527	0.056680	0.045047	0.015640
0.063263	0.063734	0.050602	0.018343
0.070843	0.071325	0.055897	0.021690
0.078801	0.079415	0.062121	0.025298
0.087324	0.088053	0.068856	0.029303
0.096384	0.097289	0.076156	0.033732
0.106002	0.106991	0.083473	0.038566
0.116172	0.117276	0.090984	0.043927
0.126920	0.128055	0.098701	0.049751
0.138237	0.139409	0.106761	0.055998
0.150095	0.151244	0.115102	0.062768
0.162499	0.163576	0.123640	0.070039
0.175459	0.176338	0.132337	0.077603
0.188916	0.189570	0.141155	0.085571
0.202894	0.203224	0.150052	0.094772
0.217368	0.217219	0.158980	0.103931
0.232255	0.231597	0.167895	0.113920
0.247595	0.246292	0.176746	0.124321
0.263375	0.261244	0.185485	0.135094
0.279552	0.276526	0.194058	0.146366
0.296168	0.291969	0.202414	0.158331
0.313024	0.307566	0.210500	0.170437
0.330092	0.323218	0.218274	0.182773
0.347368	0.339012	0.225738	0.196110
0.364901	0.354797	0.232741	0.209524
0.382610	0.370521	0.239231	0.223184
0.400451	0.386058	0.245276	0.236888
0.418361	0.401743	0.250850	0.250198
0.436354	0.417166	0.255872	0.264067
0.454329	0.432517	0.260140	0.278029
0.472202	0.447643	0.263926	0.291992
0.490040	0.462481	0.266978	0.306269
0.507723	0.477038	0.269330	0.320641
0.525214	0.491267	0.271097	0.334233
0.542548	0.505161	0.271954	0.347388
0.559611	0.518703	0.272232	0.360264
0.576402	0.531848	0.271666	0.372846
0.592914	0.544578	0.270339	0.384954
0.609051	0.556908	0.268369	0.396510
0.624826	0.568787	0.265695	0.407447
0.640198	0.580239	0.262327	0.417697
0.655147	0.591231	0.258285	0.427198
0.669643	0.601769	0.253600	0.435892
0.683682	0.611832	0.248437	0.443713
0.697199	0.621612	0.242529	0.450615
